"lat":1.339986,"lng":103.848892,"gym_name":"The Great Lamp at Toa Payoh"
"lat":1.340035,"lng":103.853228,"gym_name":"Kim Keat Court Signage"
"lat":1.338998,"lng":103.852098,"gym_name":"Seu Teck Sean Tong Temple"
"lat":1.335934,"lng":103.853205,"gym_name":"Pseuderanthemum Jessica Engraving"
"lat":1.33015,"lng":103.854693,"gym_name":"Safra Toa Payoh"
"lat":1.330542,"lng":103.851748,"gym_name":"Singapore Table Tennis Association"
"lat":1.330545,"lng":103.851654,"gym_name":"Toa Payoh Sports Hall"
"lat":1.330423,"lng":103.850505,"gym_name":"Toa Payoh Swimming Pool Complex"
"lat":1.332748,"lng":103.84898,"gym_name":"The Boys"
"lat":1.334918,"lng":103.849598,"gym_name":"Blk 79E Play Ground"
"lat":1.331912,"lng":103.854199,"gym_name":"TPY Dragon Playground"
"lat":1.335191,"lng":103.852794,"gym_name":"Snippets of Toa Payoh"
"lat":1.33831,"lng":103.872191,"gym_name":""
"lat":1.338561,"lng":103.870905,"gym_name":"NE11 Woodleigh Bus Shelter"
"lat":1.338774,"lng":103.856474,"gym_name":"Chee Tian Keng Temple"
"lat":1.335575,"lng":103.852412,"gym_name":"Sculpture Connect"
"lat":1.317742,"lng":103.900961,"gym_name":"Malay Wedding Mural"
"lat":1.310108,"lng":103.902228,"gym_name":"Conserved Pre-WWII Peranakan Shophouses of Koon Seng Road"
"lat":1.312591,"lng":103.901295,"gym_name":"Kuan Im Tng Temple"
"lat":1.316613,"lng":103.892587,"gym_name":""
"lat":1.30793,"lng":103.895052,"gym_name":"Kadam Sutra Tantra Buddhist Centre"
"lat":1.303537,"lng":103.912256,"gym_name":""
"lat":1.318894,"lng":103.912415,"gym_name":"Masjid Kassim"
"lat":1.320814,"lng":103.905492,"gym_name":"Dharma Cakra Society"
"lat":1.314168,"lng":103.932036,"gym_name":"Emmanuel Assembly Of God "
"lat":1.309513,"lng":103.92778,"gym_name":"Kampung Siglap Mosque"
"lat":1.309332,"lng":103.930881,"gym_name":"Playground"
"lat":1.339241,"lng":103.88694,"gym_name":"Park Connector Totem"
"lat":1.340317,"lng":103.884292,"gym_name":"Bunga Rampai Park"
"lat":1.318531,"lng":103.85435,"gym_name":""
"lat":1.319337,"lng":103.854216,"gym_name":"Balestier Seventh-Day Adventist Church"
"lat":1.318841,"lng":103.848977,"gym_name":"Temple of Kings"
